tr_test_id,cost_real,cost_pred
4169,5.07725778003,5.00435932289
3663,5.75329813101,5.84988077291
20496,38.8598009159,37.1167379413
18613,32.4026418433,30.3335929172
22065,2.53445580143,3.39843248089
22616,2.67077669525,3.19073677893
27872,3.81976708602,3.89818400095
29278,6.43212054105,6.41808781553
11387,10.5273114738,10.3403364227
22433,404.082949873,201.49586364
115,10.7470941393,7.11758488852
7040,2.83213612059,2.77703826533
16149,6.54896702147,6.46797304208
26847,4.27602477145,4.19696224433
27004,3.05748290425,2.98163078582
10670,11.8237509946,11.8380824778
5147,21.8836765467,22.4995000409
26951,26.8385237282,43.5533733989
16567,5.64757988683,5.60062065881
24158,8.61603690123,8.75802880239
9405,84.8528012553,46.1060829039
14169,28.8555165449,28.5157849714
20471,2.11158282468,2.06606164388
18728,9.70660405179,9.16473924414
15052,5.39441251259,5.61571768485
22216,3.12425232163,4.12624793329
12478,5.78946489876,5.77440356875
29377,11.940597475,11.9596849065
9081,8.96101222437,8.52637433418
8176,4.88529570506,4.82171102021
29743,5.26365573688,5.11565253384
14399,7.59780328617,4.91416456387
14048,4.53753832286,4.42863499263
3731,7.86766301475,7.83732681876
29019,1.81390250552,1.850110354
18474,1.88623604102,2.00324685539
2094,11.8988665891,13.0702714238
20619,30.7028037591,31.4721513898
16840,11.6317889196,11.5987556514
21688,4.66829509857,4.60647574803
15314,22.1980492202,19.9738707046
22464,7.5560724003,7.86710577655
21346,5.63923370965,5.69402993391
27531,2.4509940297,2.56036557478
17013,6.58791584828,6.42223595267
26968,16.7034825815,16.8030766745
19082,7.93999655025,8.15390042355
29020,1.67201749359,1.68624281828
27752,10.8555944426,10.6852936267
2752,4.15917829104,4.1744502642
27230,6.07601698169,4.61073649766
10754,4.24264006276,4.32229474511
22600,3.42193264079,3.48879700345
17806,37.6718616983,32.0959427759
4255,15.6657745531,15.770929962
9134,29.8153269198,27.5366726755
14145,29.0864274467,29.1293265175
25884,11.9962386562,11.493458665
307,5.13011690212,5.19532539838
3054,8.9721404606,6.68605695997
13468,14.0883470674,12.804139878
4357,9.53968050834,9.42200898535
22879,11.9489436522,11.4760627579
23879,3.8865365034,4.03541372928
7386,22.1451900981,22.5017275491
21951,12.7334843064,16.92397755
511,3.16320114843,3.99631839982
8899,4.81852628768,4.49708309938
21486,2.16444194677,2.83147422411
24022,3.03800849084,3.04647908017
23887,4.48467920077,4.47518707435
4288,28.5327976942,28.1410997325
8670,6.82439086817,7.05243588147
16489,2.25624989567,2.32876825616
22927,3.63893324727,3.66252326471
22103,113.510791607,119.622755015
4421,27.8345008708,27.9516893507
26402,40.9686016815,47.4077088374
19120,198.803158193,132.349218285
21125,7.75638065245,6.34489505235
2377,5.57802841039,5.77948386625
23789,20.0391713915,15.2810176266
30081,20.5538523172,20.7959138749
17082,2.320237254,2.70748239744
9663,4.80739805145,4.81859133938
21110,4.64603862611,4.29987251352
29031,12.3050472115,11.8539443762
17525,15.1900424542,16.4804847748
29691,10.3826444028,9.7451021609
15656,3.04913672707,3.15860285783
21651,10.0766179064,9.44749892769
23640,7.08590441958,7.19857662995
23628,11.8960845301,12.9430252557
24992,1.63306866678,1.61139856919
2975,7.32237943947,6.23821986228
24826,6.73536497833,6.9295786407
25936,2.96011083723,3.15549417018
19403,11.0837232853,9.93808835296
7277,4.14248593669,4.16535428997
27337,1.83337691893,1.83156286758
5810,22.428960122,22.9150678772
29374,2.68468699054,2.72187499729
11600,5.0661295438,5.17311832712
4673,3.60276647953,3.69859415204
14488,5.09116807532,5.12451504199
14202,28.3686562098,27.3474589095
886,12.3467780974,13.4056816051
29027,2.09767252939,2.10922649987
27590,12.5554325267,13.6332392293
13248,5.57524635133,5.61065987498
16317,6.63521085226,5.97261772703
13318,4.37896095658,4.484307386
17051,22.2620365785,22.2996763056
6714,6.71589056492,6.5752911935
4536,23.0076284059,23.4576867406
7290,21.6305091724,21.5779273518
9265,5.46674604809,5.41068943824
